engine,doors,seats,horsepower,type
1.2,5,5,90,hatchback
1.3,5,5,95,hatchback
1.4,5,5,110,hatchback
1.5,5,5,115,hatchback
1.6,5,5,120,hatchback
1.8,5,5,140,hatchback
1.8,5,5,145,hatchback
1.9,5,5,150,hatchback
2.0,5,5,150,sedan
2.0,5,5,170,sedan
2.0,5,5,190,sedan
2.2,5,5,200,sedan
2.5,5,5,220,sedan
2.8,5,5,250,sedan
3.0,5,5,280,sedan
3.0,5,5,290,sedan
2.0,5,5,200,suv
2.2,5,5,220,suv
2.5,5,5,240,suv
2.8,5,5,260,suv
3.0,5,5,280,suv
3.0,5,7,300,suv
3.5,5,7,350,suv
4.0,5,7,380,suv
3.0,2,2,350,sports
3.2,2,2,380,sports
3.5,2,2,400,sports
4.0,2,2,450,sports
4.5,2,2,500,sports
5.0,2,2,550,sports
